CSI Index: 1
Subcarrier,Amplitude,Phase
3,0.0,0.0
4,27.856777,-1.93797
5,28.460499,-1.892547
6,29.12044,-1.849096
7,28.86174,-1.815775
8,29.427877,-1.741531
9,30.413813,-1.735945
10,29.274563,-1.707862
11,30.265491,-1.703348
12,29.274563,-1.707862
13,29.15476,-1.673878
14,29.15476,-1.673878
15,28.160255,-1.677532
16,29.15476,-1.673878
17,28.284271,-1.712693
18,27.294687,-1.717875
19,27.459061,-1.753907
20,27.658634,-1.789465
21,27.658634,-1.789465
22,27.892651,-1.82447
23,28.160255,-1.858852
24,27.513634,-1.904041
25,27.513634,-1.904041
26,28.231188,-1.971037
27,28.231188,-1.971037
28,29.068884,-2.034444
29,29.068884,-2.034444
30,29.068884,-2.034444
31,29.529646,-2.064738
32,0.0,0.0
33,29.15476,-2.111216
34,29.15476,-2.111216
35,28.301943,-2.129396
36,27.459061,-2.148698
37,25.806976,-2.191046
38,25.0,-2.214298
39,25.0,-2.214298
40,24.839485,-2.270689
41,24.083189,-2.297439
42,23.345236,-2.325901
43,22.627417,-2.356194
44,21.931713,-2.388441
45,21.260292,-2.422763
46,21.400934,-2.488746
47,21.400934,-2.488746
48,21.400934,-2.488746
49,20.808653,-2.52693
50,20.808653,-2.52693
51,21.633308,-2.55359
52,20.808653,-2.52693
53,21.633308,-2.55359
54,20.808653,-2.52693
55,20.808653,-2.52693
56,20.0,-2.498091
57,20.0,-2.498091
58,20.0,-2.498091
59,19.849434,-2.427502
60,19.849434,-2.427502
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 12
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.068884,-0.712358
5,29.832869,-0.690446
6,29.832869,-0.690446
7,30.0,-0.643501
8,31.622776,-0.605545
9,31.064449,-0.579074
10,31.906113,-0.561922
11,31.064449,-0.579074
12,31.38471,-0.534955
13,30.528675,-0.551655
14,30.528675,-0.551655
15,29.681644,-0.569313
16,30.232433,-0.597177
17,29.410883,-0.616297
18,29.206163,-0.664046
19,28.425341,-0.68573
20,29.068884,-0.712358
21,28.319605,-0.73544
22,29.0,-0.809784
23,29.732138,-0.832981
24,29.068884,-0.858439
25,29.206163,-0.90675
26,28.600698,-0.934288
27,30.232433,-0.97362
28,30.528675,-1.019141
29,30.016663,-1.047518
30,30.88689,-1.063698
31,30.413813,-1.092444
32,0.0,0.0
33,29.966648,-1.122073
34,30.083218,-1.196463
35,29.15476,-1.183921
36,28.79236,-1.216091
37,27.202942,-1.272297
38,26.24881,-1.261093
39,25.709921,-1.335251
40,24.738634,-1.325818
41,24.331051,-1.405648
42,24.186773,-1.446441
43,23.086792,-1.484058
44,23.021729,-1.527345
45,22.0,-1.570796
46,22.022715,-1.61622
47,22.090721,-1.661456
48,22.090721,-1.661456
49,22.090721,-1.661456
50,21.377558,-1.759018
51,21.377558,-1.759018
52,21.377558,-1.759018
53,21.377558,-1.759018
54,21.377558,-1.759018
55,21.377558,-1.759018
56,21.377558,-1.759018
57,21.377558,-1.759018
58,20.223749,-1.719686
59,20.223749,-1.719686
60,21.095022,-1.665748
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0

CSI Index: 13
Subcarrier,Amplitude,Phase
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,29.15476,1.673878
5,29.614185,1.774814
6,30.083218,1.839964
7,29.732138,1.91382
8,29.966648,2.01952
9,30.88689,2.077895
10,31.38471,2.105752
11,31.622776,2.176341
12,30.610456,2.240435
13,30.479502,2.28654
14,30.413813,2.332943
15,30.413813,2.332943
16,29.698484,2.356194
17,29.0,2.38058
18,28.319605,2.406153
19,27.658634,2.432966
20,29.068884,2.429235
21,28.425341,2.455863
22,28.425341,2.455863
23,28.425341,2.455863
24,28.425341,2.455863
25,28.425341,2.455863
26,29.206163,2.477546
27,30.0,2.498091
28,29.206163,2.477546
29,30.232433,2.544416
30,30.805843,2.51757
31,31.064449,2.562518
32,0.0,0.0
33,30.528675,2.589938
34,29.15476,2.601173
35,28.653097,2.631104
36,28.178005,2.662073
37,27.294687,2.64517
38,25.942244,2.660705
39,25.942244,2.660705
40,24.596748,2.677945
41,23.259407,2.697173
42,23.259407,2.697173
43,22.847319,2.736701
44,21.931713,2.718739
45,22.36068,2.677945
